epoch,train_loss,val_loss
1,0.0016068086158210302,0.001184931956231594
2,0.000712186485008501,0.0007379046292044222
3,0.00041355892522808383,0.00043266432476229966
4,0.0002887300301261027,0.0006185522652231157
5,0.00027367702055284204,0.00041522292303852737
6,0.00025164228110738536,0.00031207100255414844
7,0.00021123611505198127,0.00031208895961754024
8,0.00022127317360547537,0.0003137646708637476
9,0.00022626715808120722,0.00027924374444410205
10,0.00020202575765057083,0.0003561795747373253
11,0.00018895945600781809,0.00036240144982002676
12,0.00020364711920539027,0.00031697077793069184
13,0.00023207121686188176,0.00029580164118669927
14,0.00017383339111213847,0.00028773921076208353
15,0.00018382930326932932,0.00028408985235728323
16,0.00018711490231319606,0.0002827292773872614
17,0.00015489294310100377,0.00028472417034208775
18,0.0001607826493187424,0.0002968044427689165
19,0.00016863716197857524,0.00031304691219702363
